id,name,country,description
1,Agra,India,"Home to the Taj Mahal, a symbol of love. (India Destination #1)"
2,Jaipur,India,"Known as the Pink City, rich in forts and palaces. (India Destination #2)"
3,Varanasi,India,Spiritual capital of India on the banks of the Ganges. (India Destination #3)
4,Goa,India,"Popular for beaches, nightlife, and heritage. (India Destination #4)"
5,Kerala,India,Famous for backwaters and Ayurveda. (India Destination #5)
6,Leh,India,Scenic beauty and Buddhist monasteries. (India Destination #6)
7,Manali,India,Hill station with snow sports and mountain views. (India Destination #7)
8,Mumbai,India,Financial hub and home to Bollywood. (India Destination #8)
9,Delhi,India,Capital city with historical landmarks. (India Destination #9)
10,Amritsar,India,"Golden Temple, Sikh pilgrimage site. (India Destination #10)"
11,Rishikesh,India,Yoga capital on the Ganges. (India Destination #11)
12,Udaipur,India,City of Lakes with royal heritage. (India Destination #12)
13,Kolkata,India,Cultural capital with colonial charm. (India Destination #13)
14,Chennai,India,South Indian hub for temples and beaches. (India Destination #14)
15,Hyderabad,India,Blend of old city and tech hub. (India Destination #15)
16,Bangalore,India,India's tech capital with green spaces. (India Destination #16)
17,Darjeeling,India,Tea gardens and Himalayan views. (India Destination #17)
18,Shillong,India,Hill station known as Scotland of the East. (India Destination #18)
19,Mysore,India,Known for palaces and Dussehra. (India Destination #19)
20,Pondicherry,India,French colonial town by the sea. (India Destination #20)
21,Coorg,India,Coffee plantations and scenic hills. (India Destination #21)
22,Hampi,India,Ancient ruins and temples. (India Destination #22)
23,Jodhpur,India,Blue city with historic forts. (India Destination #23)
24,Mount Abu,India,Rajasthan’s only hill station. (India Destination #24)
25,Ajanta,India,Cave temples and Buddhist art. (India Destination #25)
26,Lonavala,India,Monsoon getaway with waterfalls. (India Destination #26)
27,Srinagar,India,Dal Lake and Himalayan beauty. (India Destination #27)
28,Kodaikanal,India,Lake town in Tamil Nadu hills. (India Destination #28)
29,Ooty,India,Queen of Hill Stations. (India Destination #29)
30,Tirupati,India,Temple city in Andhra Pradesh. (India Destination #30)
31,Bodh Gaya,India,Buddha's enlightenment site. (India Destination #31)
32,Ranthambore,India,Tiger reserve and fort. (India Destination #32)
33,Rann of Kutch,India,Salt desert with cultural fest. (India Destination #33)
34,Mahabalipuram,India,Ancient rock-cut temples. (India Destination #34)
35,Konark,India,Sun Temple and coastal beauty. (India Destination #35)
36,Madurai,India,Meenakshi Temple and Tamil culture. (India Destination #36)
37,Rameswaram,India,Religious town on Pamban Island. (India Destination #37)
38,Aurangabad,India,Gateway to Ajanta and Ellora. (India Destination #38)
39,Bikaner,India,Desert city with Junagarh Fort. (India Destination #39)
40,Jaisalmer,India,Golden City in the Thar Desert. (India Destination #40)
41,Gwalior,India,Historic city with grand forts. (India Destination #41)
42,Haridwar,India,Spiritual city on the Ganges. (India Destination #42)
43,Tawang,India,Scenic town in Arunachal Pradesh. (India Destination #43)
44,Kaziranga,India,Home of the one-horned rhino. (India Destination #44)
45,Nainital,India,Lake town in Uttarakhand. (India Destination #45)
46,Patna,India,Historic city on the Ganges. (India Destination #46)
47,Guntur,India,City in Andhra known for chili. (India Destination #47)
48,Raipur,India,Capital of Chhattisgarh. (India Destination #48)
49,Cuttack,India,Historic city of Odisha. (India Destination #49)
50,Dehradun,India,Gateway to the Himalayas. (India Destination #50)
51,Paris,France,City of love with the Eiffel Tower. (Global Destination #1)
52,Tokyo,Japan,Tech-savvy and traditional culture. (Global Destination #2)
53,New York,USA,Times Square and global finance. (Global Destination #3)
54,Bali,Indonesia,Island with beaches and temples. (Global Destination #4)
55,Barcelona,Spain,Gaudi architecture and beaches. (Global Destination #5)
56,London,UK,Big Ben and royal heritage. (Global Destination #6)
57,Rome,Italy,Colosseum and Roman history. (Global Destination #7)
58,Sydney,Australia,Opera House and beaches. (Global Destination #8)
59,Cape Town,South Africa,Mountains and coast. (Global Destination #9)
60,Rio de Janeiro,Brazil,Carnival and Christ statue. (Global Destination #10)
61,Paris,France,City of love with the Eiffel Tower. (Global Destination #11)
62,Tokyo,Japan,Tech-savvy and traditional culture. (Global Destination #12)
63,New York,USA,Times Square and global finance. (Global Destination #13)
64,Bali,Indonesia,Island with beaches and temples. (Global Destination #14)
65,Barcelona,Spain,Gaudi architecture and beaches. (Global Destination #15)
66,London,UK,Big Ben and royal heritage. (Global Destination #16)
67,Rome,Italy,Colosseum and Roman history. (Global Destination #17)
68,Sydney,Australia,Opera House and beaches. (Global Destination #18)
69,Cape Town,South Africa,Mountains and coast. (Global Destination #19)
70,Rio de Janeiro,Brazil,Carnival and Christ statue. (Global Destination #20)
71,Paris,France,City of love with the Eiffel Tower. (Global Destination #21)
72,Tokyo,Japan,Tech-savvy and traditional culture. (Global Destination #22)
73,New York,USA,Times Square and global finance. (Global Destination #23)
74,Bali,Indonesia,Island with beaches and temples. (Global Destination #24)
75,Barcelona,Spain,Gaudi architecture and beaches. (Global Destination #25)
76,London,UK,Big Ben and royal heritage. (Global Destination #26)
77,Rome,Italy,Colosseum and Roman history. (Global Destination #27)
78,Sydney,Australia,Opera House and beaches. (Global Destination #28)
79,Cape Town,South Africa,Mountains and coast. (Global Destination #29)
80,Rio de Janeiro,Brazil,Carnival and Christ statue. (Global Destination #30)
81,Paris,France,City of love with the Eiffel Tower. (Global Destination #31)
82,Tokyo,Japan,Tech-savvy and traditional culture. (Global Destination #32)
83,New York,USA,Times Square and global finance. (Global Destination #33)
84,Bali,Indonesia,Island with beaches and temples. (Global Destination #34)
85,Barcelona,Spain,Gaudi architecture and beaches. (Global Destination #35)
86,London,UK,Big Ben and royal heritage. (Global Destination #36)
87,Rome,Italy,Colosseum and Roman history. (Global Destination #37)
88,Sydney,Australia,Opera House and beaches. (Global Destination #38)
89,Cape Town,South Africa,Mountains and coast. (Global Destination #39)
90,Rio de Janeiro,Brazil,Carnival and Christ statue. (Global Destination #40)
91,Paris,France,City of love with the Eiffel Tower. (Global Destination #41)
92,Tokyo,Japan,Tech-savvy and traditional culture. (Global Destination #42)
93,New York,USA,Times Square and global finance. (Global Destination #43)
94,Bali,Indonesia,Island with beaches and temples. (Global Destination #44)
95,Barcelona,Spain,Gaudi architecture and beaches. (Global Destination #45)
96,London,UK,Big Ben and royal heritage. (Global Destination #46)
97,Rome,Italy,Colosseum and Roman history. (Global Destination #47)
98,Sydney,Australia,Opera House and beaches. (Global Destination #48)
99,Cape Town,South Africa,Mountains and coast. (Global Destination #49)
100,Rio de Janeiro,Brazil,Carnival and Christ statue. (Global Destination #50)
101,Paris,France,City of love with the Eiffel Tower. (Global Destination #51)
102,Tokyo,Japan,Tech-savvy and traditional culture. (Global Destination #52)
103,New York,USA,Times Square and global finance. (Global Destination #53)
104,Bali,Indonesia,Island with beaches and temples. (Global Destination #54)
105,Barcelona,Spain,Gaudi architecture and beaches. (Global Destination #55)
106,London,UK,Big Ben and royal heritage. (Global Destination #56)
107,Rome,Italy,Colosseum and Roman history. (Global Destination #57)
108,Sydney,Australia,Opera House and beaches. (Global Destination #58)
109,Cape Town,South Africa,Mountains and coast. (Global Destination #59)
110,Rio de Janeiro,Brazil,Carnival and Christ statue. (Global Destination #60)
111,Paris,France,City of love with the Eiffel Tower. (Global Destination #61)
112,Tokyo,Japan,Tech-savvy and traditional culture. (Global Destination #62)
113,New York,USA,Times Square and global finance. (Global Destination #63)
114,Bali,Indonesia,Island with beaches and temples. (Global Destination #64)
115,Barcelona,Spain,Gaudi architecture and beaches. (Global Destination #65)
116,London,UK,Big Ben and royal heritage. (Global Destination #66)
117,Rome,Italy,Colosseum and Roman history. (Global Destination #67)
118,Sydney,Australia,Opera House and beaches. (Global Destination #68)
119,Cape Town,South Africa,Mountains and coast. (Global Destination #69)
120,Rio de Janeiro,Brazil,Carnival and Christ statue. (Global Destination #70)
121,Paris,France,City of love with the Eiffel Tower. (Global Destination #71)
122,Tokyo,Japan,Tech-savvy and traditional culture. (Global Destination #72)
123,New York,USA,Times Square and global finance. (Global Destination #73)
124,Bali,Indonesia,Island with beaches and temples. (Global Destination #74)
125,Barcelona,Spain,Gaudi architecture and beaches. (Global Destination #75)
126,London,UK,Big Ben and royal heritage. (Global Destination #76)
127,Rome,Italy,Colosseum and Roman history. (Global Destination #77)
128,Sydney,Australia,Opera House and beaches. (Global Destination #78)
129,Cape Town,South Africa,Mountains and coast. (Global Destination #79)
130,Rio de Janeiro,Brazil,Carnival and Christ statue. (Global Destination #80)
131,Paris,France,City of love with the Eiffel Tower. (Global Destination #81)
132,Tokyo,Japan,Tech-savvy and traditional culture. (Global Destination #82)
133,New York,USA,Times Square and global finance. (Global Destination #83)
134,Bali,Indonesia,Island with beaches and temples. (Global Destination #84)
135,Barcelona,Spain,Gaudi architecture and beaches. (Global Destination #85)
136,London,UK,Big Ben and royal heritage. (Global Destination #86)
137,Rome,Italy,Colosseum and Roman history. (Global Destination #87)
138,Sydney,Australia,Opera House and beaches. (Global Destination #88)
139,Cape Town,South Africa,Mountains and coast. (Global Destination #89)
140,Rio de Janeiro,Brazil,Carnival and Christ statue. (Global Destination #90)
141,Paris,France,City of love with the Eiffel Tower. (Global Destination #91)
142,Tokyo,Japan,Tech-savvy and traditional culture. (Global Destination #92)
143,New York,USA,Times Square and global finance. (Global Destination #93)
144,Bali,Indonesia,Island with beaches and temples. (Global Destination #94)
145,Barcelona,Spain,Gaudi architecture and beaches. (Global Destination #95)
146,London,UK,Big Ben and royal heritage. (Global Destination #96)
147,Rome,Italy,Colosseum and Roman history. (Global Destination #97)
148,Sydney,Australia,Opera House and beaches. (Global Destination #98)
149,Cape Town,South Africa,Mountains and coast. (Global Destination #99)
150,Rio de Janeiro,Brazil,Carnival and Christ statue. (Global Destination #100)
151,Paris,France,City of love with the Eiffel Tower. (Global Destination #101)
152,Tokyo,Japan,Tech-savvy and traditional culture. (Global Destination #102)
153,New York,USA,Times Square and global finance. (Global Destination #103)
154,Bali,Indonesia,Island with beaches and temples. (Global Destination #104)
155,Barcelona,Spain,Gaudi architecture and beaches. (Global Destination #105)
156,London,UK,Big Ben and royal heritage. (Global Destination #106)
157,Rome,Italy,Colosseum and Roman history. (Global Destination #107)
158,Sydney,Australia,Opera House and beaches. (Global Destination #108)
159,Cape Town,South Africa,Mountains and coast. (Global Destination #109)
160,Rio de Janeiro,Brazil,Carnival and Christ statue. (Global Destination #110)
161,Paris,France,City of love with the Eiffel Tower. (Global Destination #111)
162,Tokyo,Japan,Tech-savvy and traditional culture. (Global Destination #112)
163,New York,USA,Times Square and global finance. (Global Destination #113)
164,Bali,Indonesia,Island with beaches and temples. (Global Destination #114)
165,Barcelona,Spain,Gaudi architecture and beaches. (Global Destination #115)
166,London,UK,Big Ben and royal heritage. (Global Destination #116)
167,Rome,Italy,Colosseum and Roman history. (Global Destination #117)
168,Sydney,Australia,Opera House and beaches. (Global Destination #118)
169,Cape Town,South Africa,Mountains and coast. (Global Destination #119)
170,Rio de Janeiro,Brazil,Carnival and Christ statue. (Global Destination #120)
171,Paris,France,City of love with the Eiffel Tower. (Global Destination #121)
172,Tokyo,Japan,Tech-savvy and traditional culture. (Global Destination #122)
173,New York,USA,Times Square and global finance. (Global Destination #123)
174,Bali,Indonesia,Island with beaches and temples. (Global Destination #124)
175,Barcelona,Spain,Gaudi architecture and beaches. (Global Destination #125)
176,London,UK,Big Ben and royal heritage. (Global Destination #126)
177,Rome,Italy,Colosseum and Roman history. (Global Destination #127)
178,Sydney,Australia,Opera House and beaches. (Global Destination #128)
179,Cape Town,South Africa,Mountains and coast. (Global Destination #129)
180,Rio de Janeiro,Brazil,Carnival and Christ statue. (Global Destination #130)
181,Paris,France,City of love with the Eiffel Tower. (Global Destination #131)
182,Tokyo,Japan,Tech-savvy and traditional culture. (Global Destination #132)
183,New York,USA,Times Square and global finance. (Global Destination #133)
184,Bali,Indonesia,Island with beaches and temples. (Global Destination #134)
185,Barcelona,Spain,Gaudi architecture and beaches. (Global Destination #135)
186,London,UK,Big Ben and royal heritage. (Global Destination #136)
187,Rome,Italy,Colosseum and Roman history. (Global Destination #137)
188,Sydney,Australia,Opera House and beaches. (Global Destination #138)
189,Cape Town,South Africa,Mountains and coast. (Global Destination #139)
190,Rio de Janeiro,Brazil,Carnival and Christ statue. (Global Destination #140)
191,Paris,France,City of love with the Eiffel Tower. (Global Destination #141)
192,Tokyo,Japan,Tech-savvy and traditional culture. (Global Destination #142)
193,New York,USA,Times Square and global finance. (Global Destination #143)
194,Bali,Indonesia,Island with beaches and temples. (Global Destination #144)
195,Barcelona,Spain,Gaudi architecture and beaches. (Global Destination #145)
196,London,UK,Big Ben and royal heritage. (Global Destination #146)
197,Rome,Italy,Colosseum and Roman history. (Global Destination #147)
198,Sydney,Australia,Opera House and beaches. (Global Destination #148)
199,Cape Town,South Africa,Mountains and coast. (Global Destination #149)
200,Rio de Janeiro,Brazil,Carnival and Christ statue. (Global Destination #150)
201,Paris,France,City of love with the Eiffel Tower. (Global Destination #151)
202,Tokyo,Japan,Tech-savvy and traditional culture. (Global Destination #152)
203,New York,USA,Times Square and global finance. (Global Destination #153)
